16:37:20.772 [32m[main][0;39m [34mINFO[0;39m org.openlca.core.database.Derby - initialize database folder C:\Users\KETI\openLCA-data-1.4\databases\test1012, create=false
Calculated result for 26c22773-3780-4dc2-9e04-a70dd72b2d68

Crustal scarcity indicator;0.08266;kg Si eq
Climate change - fossil;0.00583;kg CO2 eq
Climate change - land use and land transformation;0.00000;kg CO2 eq
Climate change - biogenic;0.00000;kg CO2 eq
Climate change - CO2 uptake;0.00000;kg CO2 eq
Freshwater ecotoxicity;0.00000;PAF.m3.day
Human toxicity, cancer;0.00000;cases
Human toxicity, non-cancer;0.00000;cases
Human toxicity, non-cancer;0.00000;cases
Freshwater ecotoxicity;0.05068;PAF.m3.day
Human toxicity, cancer;0.00000;cases
Carcinogenics;0.00000;CTUh
Acidification;0.00003;kg SO2 eq
Smog;0.00035;kg O3 eq
Global warming;0.00581;kg CO2 eq
Non carcinogenics;0.00000;CTUh
Respiratory effects;0.00000;kg PM2.5 eq
Ozone depletion;0.00000;kg CFC-11 eq
Fossil fuel depletion;0.00168;MJ surplus
Eutrophication;0.00000;kg N eq
Ecotoxicity;0.00004;CTUe
Zinc;0.00000;kg
Nuclides;0.00000;kBq
Actinides (water);0.00000;kBq
Carbon, biogenic, fixed;0.00000;kg
Lead;0.00000;kg
Oils, unspecified;0.00000;kg
Freshwater;0.00000;m3
Particulates, >2.5 um and <10;0.00000;kg
Carbon monoxide;0.00000;kg
Particulates >10 um;0.00000;kg
Particulates;0.00000;kg
Aerosole;0.00000;kBq
Radon (+ radium);0.00000;kBq
Dinitrogen monoxide;0.00000;kg
Actinides (air);0.00000;kBq
Tritium;0.00000;kBq
Heat, waste;0.00000;MJ
Radium;0.00000;kBq
Methane;0.00000;kg
Water;0.00000;m3
Noble gas;0.00000;kBq
Cadmium;0.00000;kg
Nitrogen oxides;0.00001;kg
Sulphur dioxide;0.00000;kg
Particulates, <2.5 um;0.00000;kg
NMVOC;0.00000;kg
Carbon dioxide, fossil;0.00570;kg
BOD;0.00000;kg
Land occupation;0.00000;m2a
Freshwater ecotoxicity;0.00000;kg 1,4-DCB
Terrestrial acidification;0.00002;kg SO2 eq
Ozone formation, Terrestrial ecosystems;0.00001;kg NOx eq
Ionizing radiation;0.00000;kBq Co-60 eq
Human carcinogenic toxicity;0.00000;kg 1,4-DCB
Stratospheric ozone depletion;0.00000;kg CFC11 eq
Fossil resource scarcity;0.00112;kg oil eq
Ozone formation, Human health;0.00001;kg NOx eq
Water consumption;0.00000;m3
Human non-carcinogenic toxicity;0.00000;kg 1,4-DCB
Fine particulate matter formation;0.00000;kg PM2.5 eq
Global warming;0.00605;kg CO2 eq
Mineral resource scarcity;0.00001;kg Cu eq
Terrestrial ecotoxicity;0.00009;kg 1,4-DCB
Marine eutrophication;0.00000;kg N eq
Freshwater eutrophication;0.00000;kg P eq
Marine ecotoxicity;0.00000;kg 1,4-DCB
Land use;0.00000;m2a crop eq
Freshwater eutrophication;0.00000;kg P eq
Terrestrial ecotoxicity;0.00020;kg 1,4-DCB
Water consumption;0.00000;m3
Human non-carcinogenic toxicity;0.00001;kg 1,4-DCB
Marine eutrophication;0.00000;kg N eq
Human carcinogenic toxicity;0.00000;kg 1,4-DCB
Mineral resource scarcity;0.00000;kg Cu eq
Marine ecotoxicity;0.00000;kg 1,4-DCB
Terrestrial acidification;0.00002;kg SO2 eq
Fine particulate matter formation;0.00001;kg PM2.5 eq
Freshwater ecotoxicity;0.00000;kg 1,4-DCB
Global warming;0.00585;kg CO2 eq
Fossil resource scarcity;0.00112;kg oil eq
Ozone formation, Human health;0.00001;kg NOx eq
Ozone formation, Terrestrial ecosystems;0.00001;kg NOx eq
Land use;0.00000;m2a crop eq
Stratospheric ozone depletion;0.00000;kg CFC11 eq
Ionizing radiation;0.00000;kBq Co-60 eq
Fine particulate matter formation;0.00001;kg PM2.5 eq
Water consumption;0.00000;m3
Human carcinogenic toxicity;0.00000;kg 1,4-DCB
Global warming;0.00572;kg CO2 eq
Freshwater eutrophication;0.00000;kg P eq
Fossil resource scarcity;0.00112;kg oil eq
Ozone formation, Human health;0.00001;kg NOx eq
Ionizing radiation;0.00000;kBq Co-60 eq
Marine ecotoxicity;0.00282;kg 1,4-DCB
Ozone formation, Terrestrial ecosystems;0.00001;kg NOx eq
Human non-carcinogenic toxicity;0.00244;kg 1,4-DCB
Marine eutrophication;0.00000;kg N eq
Terrestrial ecotoxicity;0.00022;kg 1,4-DCB
Freshwater ecotoxicity;0.00000;kg 1,4-DCB
Terrestrial acidification;0.00002;kg SO2 eq
Mineral resource scarcity;0.00000;kg Cu eq
Land use;0.00000;m2a crop eq
Stratospheric ozone depletion;0.00000;kg CFC11 eq
Fossil resource scarcity;0.00019;USD2013
Marine eutrophication;0.00000;species.yr
Water consumption, Human health;0.00000;DALY
Fine particulate matter formation;0.00000;DALY
Water consumption, Terrestrial ecosystem;0.00000;species.yr
Ionizing radiation;0.00000;DALY
Global warming, Terrestrial ecosystems;0.00000;species.yr
Land use;0.00000;species.yr
Marine ecotoxicity;0.00000;species.yr
Global warming, Freshwater ecosystems;0.00000;species.yr
Human non-carcinogenic toxicity;0.00000;DALY
Stratospheric ozone depletion;0.00000;DALY
Freshwater ecotoxicity;0.00000;species.yr
Mineral resource scarcity;0.00000;USD2013
Human carcinogenic toxicity;0.00000;DALY
Terrestrial acidification;0.00000;species.yr
Ozone formation, Human health;0.00000;DALY
Water consumption, Aquatic ecosystems;0.00000;species.yr
Ozone formation, Terrestrial ecosystems;0.00000;species.yr
Freshwater eutrophication;0.00000;species.yr
Terrestrial ecotoxicity;0.00000;species.yr
Global warming, Human health;0.00000;DALY
Freshwater eutrophication;0.00000;species.yr
Water consumption, Aquatic ecosystems;0.00000;species.yr
Mineral resource scarcity;0.00000;USD2013
Freshwater ecotoxicity;0.00000;species.yr
Human non-carcinogenic toxicity;0.00000;DALY
Global warming, Human health;0.00000;DALY
Marine eutrophication;0.00000;species.yr
Fossil resource scarcity;0.00019;USD2013
Ionizing radiation;0.00000;DALY
Marine ecotoxicity;0.00000;species.yr
Land use;0.00000;species.yr
Human carcinogenic toxicity;0.00000;DALY
Water consumption, Terrestrial ecosystem;0.00000;species.yr
Water consumption, Human health;0.00000;DALY
Ozone formation, Terrestrial ecosystems;0.00000;species.yr
Fine particulate matter formation;0.00000;DALY
Terrestrial ecotoxicity;0.00000;species.yr
Global warming, Freshwater ecosystems;0.00000;species.yr
Stratospheric ozone depletion;0.00000;DALY
Terrestrial acidification;0.00000;species.yr
Global warming, Terrestrial ecosystems;0.00000;species.yr
Ozone formation, Human health;0.00000;DALY
Terrestrial acidification;0.00000;species.yr
Water consumption, Human health;0.00000;DALY
Stratospheric ozone depletion;0.00000;DALY
Land use;0.00000;species.yr
Human carcinogenic toxicity;0.00000;DALY
Marine eutrophication;0.00000;species.yr
Water consumption, Terrestrial ecosystem;0.00000;species.yr
Marine ecotoxicity;0.00000;species.yr
